namaGrup,namaProduk,pengeluaran,pendapatan,totalEfektivitasIklan,efektivitasIklan,performaTampil,tampilTeratas,tampil,klik,persentaseKlik,terjual,totTerjual,persentaseTerjual,rataRata
dish,Onion Rings,5758,312388,54,54,0,2,317,0,0.0,1,9,0,0
spices,Chili pepper,18910,165978,9,9,1,178,335,0,0.0,0,0,0,0
spices,Anise,3758,90250,24,24,0,6,365,4,1.1,0,0,0,940
dish,London broil,1838,489106,266,266,1,207,347,7,2.02,0,0,0,263
drink,Vodka Martini or Kangaroo,17154,347718,20,20,1,179,218,3,1.38,0,0,0,5718
drink,Jagertee,12771,189599,15,15,55,275,5,1,20.0,2,2,2,12771
fruit,Lawton blackberry,10421,42356,4,4,1,283,397,6,1.51,0,0,0,1737
dish,Gyros,4760,212852,45,45,0,61,427,10,2.34,0,10,1,476
vegetable,Taro,8170,205821,25,25,3,292,108,7,6.48,0,0,0,1167
drink,Mai-Tai,10030,174968,17,17,2,253,139,6,4.32,0,0,0,1672
drink,Royce,7362,405621,55,55,0,173,679,8,1.18,0,0,0,920
vegetable,String Beans,4222,467935,111,111,3,122,35,6,17.14,0,10,2,704
vegetable,Frisee,13038,86093,7,7,0,67,521,7,1.34,0,0,0,1863
vegetable,Fiddlehead,16326,456523,28,28,0,103,510,3,0.59,0,0,0,5442
fruit,Black sapote,5359,117417,22,22,0,56,641,1,0.16,0,0,0,5359
fruit,Caimito,10069,98966,10,10,1,210,334,2,0.6,0,0,0,5034
spices,Parsley,429,178644,416,416,0,74,613,2,0.33,0,0,0,214
dish,Lobster roll,9231,296573,32,32,1,170,231,2,0.87,0,0,0,4616
spices,Asafoetida,12293,462969,38,38,0,33,467,8,1.71,0,2,0,1537
vegetable,Lotus Seed,16946,238413,14,14,3,174,57,10,17.54,0,0,0,1695
dish,Sweetbreads,3181,418545,132,132,0,26,162,3,1.85,0,0,0,1060
fruit,Huckleberry,8474,446987,53,53,1,284,245,1,0.41,0,0,0,8474
spices,Parsley,13722,200166,15,15,1,120,157,5,3.18,0,0,0,2744
fruit,Tayberry,7261,421151,58,58,0,1,399,8,2.01,0,0,0,908
fruit,Kakadu lime,4120,304910,74,74,1,168,157,1,0.64,0,0,0,4120
fruit,Coconut,1632,453659,278,278,1,277,512,2,0.39,0,0,0,816
