No,namaGrup,kataKunci,pengeluaran,pendapatan,totalEfektivitasIklan,efektivitasIklan,tampil,klik,persentaseKlik,terjual,totTerjual,rataRata,tampilTeratas
40,vegetable,Bok Choi,18678,388705,21,21,644,8,1.24,0,10,2335,85
41,vegetable,Rutabagat,18604,359484,19,19,127,1,0.79,0,0,18604,1
42,drink,A Black Jack,18016,83688,5,5,270,0,0.0,0,6,0,67
43,drink,Green Vesper,1421,487786,343,343,381,6,1.57,0,10,237,57
44,fruit,Lime,13784,392032,28,28,408,9,2.21,0,0,1532,119
45,vegetable,Sweet Potato,11204,216480,19,19,426,2,0.47,0,0,5602,262
46,fruit,Desert lime,8643,497597,58,58,151,0,0.0,0,0,0,124
47,dish,Corned beef,13651,355388,26,26,615,10,1.63,0,0,1365,137
48,fruit,Giant granadilla,11381,448268,39,39,0,3,0,0,0,3794,107
49,fruit,Loganberry,6960,325764,47,47,29,4,13.79,0,0,1740,294
50,fruit,Melon pear,16963,420232,25,25,625,8,1.28,0,0,2120,176
51,spices,Alkanet,5445,51128,9,9,271,5,1.85,0,0,1089,255
52,vegetable,Belgian Endive,7582,82926,11,11,430,2,0.47,0,0,3791,3
53,dish,Chocolate cheesecake,12751,289509,23,23,150,6,4.0,0,2,2125,120
54,drink,Incredible Hulk,676,324651,480,480,148,1,0.68,0,0,676,279
55,drink,Bay Breeze,12904,488426,38,38,540,10,1.85,0,0,1290,296
56,fruit,Canistel,14580,239269,16,16,53,2,3.77,0,0,7290,299
57,vegetable,Daikon Radish,19108,56305,3,3,666,9,1.35,0,0,2123,240
58,vegetable,Asparagus,4127,298831,72,72,429,2,0.47,0,7,2064,127
59,spices,"Cicely, sweet cicely",4101,346112,84,84,517,3,0.58,0,0,1367,192
60,spices,Anise,14618,69079,5,5,638,3,0.47,0,6,4873,260
61,fruit,Cloudberry,14131,68327,5,5,484,9,1.86,0,0,1570,238
62,fruit,Bog bilberry,3606,359502,100,100,219,4,1.83,0,9,902,59
63,fruit,Physalis,3356,233000,69,69,521,10,1.92,0,0,336,66
64,fruit,Blackberry,11684,176803,15,15,138,7,5.07,0,0,1669,108
65,drink,Hi-fi,44,434019,9864,9864,236,8,3.39,0,0,6,278
66,drink,Kir Royal,16897,143729,9,9,441,5,1.13,0,0,3379,166
67,dish,Haystack,15306,368439,24,24,81,2,2.47,0,4,7653,38
68,fruit,Aronia,1194,375409,314,314,418,1,0.24,0,0,1194,219
69,spices,Alkanet,14008,176891,13,13,525,10,1.9,0,0,1401,38
70,drink,Huangjiu,11488,83698,7,7,514,9,1.75,0,0,1276,171
71,dish,Bear claw,5755,272243,47,47,110,7,6.36,0,3,822,234
72,vegetable,Curly,11317,463086,41,41,175,10,5.71,0,7,1132,123
73,vegetable,Broccoli,18841,328819,17,17,389,2,0.51,0,0,9420,43
74,vegetable,Rapini,18719,210747,11,11,542,1,0.18,0,0,18719,200
75,spices,Clove,5987,113122,19,19,195,3,1.54,0,0,1996,72
76,vegetable,Hearts of Palm,13894,382510,28,28,413,2,0.48,0,0,6947,212
77,drink,Zombie,3799,433440,114,114,258,6,2.33,0,0,633,277
78,drink,Vodka,7326,350465,48,48,687,5,0.73,0,0,1465,270
79,fruit,Limeberry,68,68641,1009,1009,122,0,0.0,0,0,0,134
80,spices,Celery seed,18781,405061,22,22,465,2,0.43,0,0,9390,287
81,drink,Akvavit,7933,283154,36,36,566,9,1.59,0,0,881,112
82,spices,Safflower,4756,436237,92,92,686,4,0.58,0,0,1189,70
83,spices,Cumin,7231,153654,21,21,626,0,0.0,0,0,0,250
84,dish,Italian Beef Sandwich,13586,297378,22,22,636,5,0.79,0,6,2717,104
85,vegetable,Hearts of Palm,14138,124689,9,9,98,2,2.04,0,0,7069,176
86,fruit,Camu camu,16356,495422,30,30,81,6,7.41,0,0,2726,139
87,dish,Tamales,18547,91842,5,5,227,4,1.76,0,5,4637,255
88,dish,Fry sauce,14474,286559,20,20,33,8,24.24,0,0,1809,163
89,vegetable,Sunchokes,9306,267139,29,29,145,4,2.76,0,0,2326,258
90,dish,Spring Rolls,505,491102,972,972,585,4,0.68,0,0,126,136
91,drink,Mint Julep,16933,343656,20,20,190,8,4.21,0,0,2117,195
92,vegetable,Avocado,18855,265172,14,14,518,1,0.19,0,10,18855,263
93,spices,Lesser calamint,15408,438031,28,28,152,0,0.0,0,2,0,81
94,drink,Irish Car Bomb,3282,92087,28,28,391,10,2.56,0,7,328,178
95,spices,Bay leaf,1518,360192,237,237,13,2,15.38,0,6,759,131
96,vegetable,Dandelion Greens,1945,52381,27,27,424,7,1.65,0,0,278,114
97,vegetable,Rapini,1103,113949,103,103,245,9,3.67,0,0,123,66
98,spices,Chili pepper,17665,469255,27,27,160,10,6.25,0,0,1766,295
99,vegetable,Dandelion Greens,18930,212676,11,11,576,8,1.39,0,4,2366,206
100,fruit,Tayberry,4876,272642,56,56,134,9,6.72,0,0,542,43
101,drink,Aviation,14147,177619,13,13,323,10,3.1,0,0,1415,139
102,fruit,Calabash tree,2628,98165,37,37,345,3,0.87,0,0,876,92
103,vegetable,Rutabagat,15621,362366,23,23,647,3,0.46,0,8,5207,178
104,vegetable,Wax Beans,3003,63040,21,21,510,0,0.0,0,0,0,106
105,drink,Fluffy Critter,15256,292937,19,19,231,0,0.0,0,0,0,197
106,fruit,Highbush cranberry,19122,363618,19,19,174,0,0.0,0,1,0,259
107,drink,Salmiakki Koskenkorva,3130,444415,142,142,477,8,1.68,0,0,391,53
108,drink,Chi-Chi,9340,124995,13,13,592,5,0.84,0,0,1868,171
109,drink,Bobby Burns,18069,448187,25,25,475,10,2.11,0,9,1807,250
110,dish,Kung Pao Chicken,4524,385399,85,85,14,1,7.14,0,8,4524,207
111,dish,Pastrami,10528,135061,13,13,453,5,1.1,0,0,2106,282
112,dish,Surf and turf,11476,498403,43,43,80,4,5.0,0,0,2869,7
113,vegetable,Taro,9917,202691,20,20,138,0,0.0,0,1,0,106
114,fruit,Bilberry,7056,307157,44,44,219,2,0.91,0,0,3528,13
115,dish,Shawarma,15283,132330,9,9,111,1,0.9,0,5,15283,169
116,spices,Alexanders,826,161169,195,195,373,4,1.07,0,0,206,300
117,dish,Cobb Salad,1488,213431,143,143,163,2,1.23,0,0,744,21
118,dish,Brisket,11604,56759,5,5,568,3,0.53,0,0,3868,257
119,fruit,Dodder laurel,33,90891,2754,2754,189,0,0.0,0,8,0,213
120,vegetable,Cucumber,1852,445424,241,241,460,8,1.74,0,9,232,175
121,spices,Sassafras,873,233989,268,268,618,9,1.46,0,0,97,273
122,dish,Baklava,7422,193008,26,26,57,1,1.75,0,0,7422,270
123,fruit,Huito,5294,174177,33,33,565,2,0.35,0,0,2647,186
124,spices,Celery leaf,2284,101046,44,44,291,3,1.03,0,0,761,280
125,spices,Indian Bay leaf,14109,376106,27,27,338,1,0.3,0,10,14109,247
126,drink,Gin and tonic,11976,343398,29,29,126,6,4.76,0,0,1996,156
127,vegetable,Parsley Root,16087,365428,23,23,379,10,2.64,0,1,1609,107
128,fruit,Physalis,10594,467972,44,44,295,7,2.37,0,0,1513,50
129,vegetable,Kale,9998,453607,45,45,195,10,5.13,0,8,1000,85
130,spices,Bay leaf,3826,284550,74,74,9,3,33.33,0,6,1275,103
131,vegetable,Bean Sprouts,7571,249725,33,33,2,2,100.0,0,0,3786,175
132,dish,Celery Victor,17444,275543,16,16,414,7,1.69,0,1,2492,281
133,drink,Moonwalk,17298,64111,4,4,380,7,1.84,0,0,2471,240
134,vegetable,Swiss Chard,4705,54338,12,12,231,0,0.0,0,0,0,143
135,vegetable,Broccoli,15647,83483,5,5,572,2,0.35,0,10,7824,183
136,dish,Fried Catfish,14389,379898,26,26,505,6,1.19,0,0,2398,83
137,drink,Royce,19687,401393,20,20,694,5,0.72,0,0,3937,275
138,drink,Flaming Volcano,4000,117837,29,29,190,3,1.58,0,0,1333,295
139,drink,Hi-fi,8335,397339,48,48,117,0,0.0,0,0,0,85
140,spices,Celery leaf,10900,96504,9,9,301,6,1.99,0,7,1817,262
141,dish,Potato Wedges,17552,386679,22,22,365,10,2.74,0,0,1755,103
142,vegetable,Mustard Greens,14683,266517,18,18,463,3,0.65,0,0,4894,127
143,spices,"Licorice, liquorice",19750,253250,13,13,27,1,3.7,0,0,19750,164
144,drink,Gin Sour,6933,429541,62,62,392,10,2.55,0,0,693,131
145,fruit,Gooseberry,15670,453482,29,29,476,9,1.89,0,0,1741,259
146,fruit,Kahikatea,8026,209973,26,26,397,4,1.01,0,0,2006,201
147,spices,Artemisia,548,316269,577,577,221,4,1.81,0,1,137,121
148,spices,Jiaogulan,12708,53457,4,4,67,10,14.93,0,0,1271,60
149,vegetable,Snow peas,10739,190051,18,18,322,8,2.48,0,0,1342,31
150,drink,Tom and Jerry,5758,449432,78,78,588,6,1.02,0,0,960,34
151,vegetable,Shallots,3247,474441,146,146,450,4,0.89,0,0,812,192
152,vegetable,Rapini,11111,204274,18,18,205,9,4.39,0,0,1235,286
153,fruit,Triphasia brassii,10906,205112,19,19,574,8,1.39,0,0,1363,31
154,vegetable,Celtuce,14663,452856,31,31,405,3,0.74,0,0,4888,16
155,spices,Ajwain,14048,144205,10,10,190,4,2.11,0,0,3512,173
156,dish,Cheese dog,16455,464759,28,28,447,4,0.89,0,0,4114,189
157,dish,Risotto,7275,395810,54,54,35,9,25.71,0,0,808,1
158,fruit,Kapok,8453,355945,42,42,98,7,7.14,1,7,1208,193
159,dish,Bellini,3141,241627,77,77,606,1,0.17,0,0,3141,14
160,dish,Pumpkin pie,2851,178793,63,63,483,10,2.07,0,0,285,184
161,drink,Planter's Punch,4012,44626,11,11,365,5,1.37,0,0,802,19
162,fruit,Galia melon,12840,317592,25,25,309,6,1.94,0,10,2140,70
163,vegetable,Zucchini,2641,74731,28,28,497,8,1.61,0,0,330,43
164,drink,20th Century,10926,186131,17,17,550,10,1.82,0,0,1093,41
165,dish,Salisbury steak,13258,400582,30,30,662,9,1.36,0,0,1473,93
166,drink,Black Russian,9680,183923,19,19,622,10,1.61,0,0,968,241
167,dish,Venison,19792,301712,15,15,584,9,1.54,0,0,2199,100
168,fruit,Whinberry,17401,193592,11,11,418,6,1.44,0,0,2900,200
169,vegetable,Aubergine,12967,104702,8,8,616,1,0.16,0,0,12967,247
170,drink,Vinsanto,7641,133498,17,17,358,8,2.23,0,2,955,75
171,spices,Juniper berry,11141,405067,36,36,67,2,2.99,0,10,5570,159
172,dish,Fried Catfish,6226,412040,66,66,402,6,1.49,0,4,1038,247
173,vegetable,Curly,7409,162792,22,22,568,7,1.23,0,0,1058,41
174,vegetable,Elephant Garlic,2008,159676,80,80,577,7,1.21,0,9,287,156
175,drink,Bee's Knees,2548,338949,133,133,520,10,1.92,0,0,255,44
176,spices,Allspice,3570,421198,118,118,246,1,0.41,0,0,3570,122
177,spices,Lesser calamint,12887,309865,24,24,290,6,2.07,0,0,2148,195
178,vegetable,Gherkin,13304,34067,3,3,279,9,3.23,0,6,1478,291
179,vegetable,Water Spinach,7401,395654,53,53,459,5,1.09,0,0,1480,140
180,drink,Lynchburg Lemonade,16869,313181,19,19,165,1,0.61,0,0,16869,164
181,vegetable,Cabbage,12390,185805,15,15,256,4,1.56,0,0,3098,250
182,dish,Pepperoni Pizza,16684,201997,12,12,129,10,7.75,0,0,1668,12
183,vegetable,Bean Sprouts,4093,80448,20,20,310,6,1.94,0,0,682,178
184,vegetable,Okra,5723,214230,37,37,680,1,0.15,0,0,5723,86
185,vegetable,Fennel,16144,392872,24,24,215,1,0.47,0,5,16144,74
186,vegetable,Bok Choi,12716,90563,7,7,50,1,2.0,0,0,12716,54
187,vegetable,Edamame,12450,104548,8,8,356,5,1.4,0,0,2490,231
188,drink,Champagne,4285,229615,54,54,203,3,1.48,0,3,1428,155
189,fruit,Limeberry,9476,489904,52,52,40,4,10.0,0,0,2369,16
190,spices,Annatto,282,240701,854,854,315,1,0.32,0,0,282,156
191,fruit,Cocoplum,12,256394,21366,21366,684,3,0.44,0,0,4,42
192,drink,Skittle Bomb,9745,463727,48,48,24,8,33.33,0,3,1218,300
193,drink,Buck's Fizz,9954,490967,49,49,344,5,1.45,0,0,1991,250
194,spices,Leptotes bicolor,1560,428573,275,275,40,5,12.5,0,0,312,174
195,dish,Chicken Manchurian,10189,440182,43,43,275,0,0.0,0,0,0,293
196,vegetable,Rapini,6012,182130,30,30,118,6,5.08,0,0,1002,203
197,spices,Sassafras,3128,145757,47,47,335,6,1.79,0,0,521,201
198,spices,Anise,8583,87321,10,10,670,9,1.34,0,0,954,259
199,spices,Chives,6794,266589,39,39,225,8,3.56,0,3,849,32
200,vegetable,Green Onions/Scallions,12538,132887,11,11,254,2,0.79,0,0,6269,252
201,spices,Peppermint,14403,482308,33,33,83,2,2.41,0,4,7202,133
202,drink,Palm wine,12374,490711,40,40,293,4,1.37,0,0,3094,280
203,dish,Ranch dressing,15565,417747,27,27,505,5,0.99,0,7,3113,241
204,vegetable,Jícama,13974,39524,3,3,138,2,1.45,0,0,6987,103
205,spices,Artemisia,9773,210846,22,22,422,8,1.9,0,0,1222,128
206,vegetable,Radicchio,13826,457688,33,33,65,7,10.77,0,0,1975,211
207,dish,Cobb Salad,18142,48159,3,3,8,6,75.0,0,0,3024,161
208,fruit,Tomatillo,13094,40826,3,3,492,6,1.22,0,6,2182,183
209,dish,Chinese food,4495,389768,87,87,299,5,1.67,0,0,899,88
210,dish,Maple bacon donut,3423,81009,24,24,418,1,0.24,0,0,3423,96
211,drink,Jagertee,4084,451299,111,111,510,3,0.59,0,7,1361,172
212,fruit,Karkalla,15292,248191,16,16,492,3,0.61,0,0,5097,226
213,spices,Chicory,4755,331643,70,70,522,10,1.92,0,1,476,113
214,drink,Godmother,18134,192922,11,11,229,0,0.0,0,0,0,214
215,fruit,Limeberry,15019,136571,9,9,114,9,7.89,0,0,1669,60
216,dish,Blue-plate special,4949,139358,28,28,294,8,2.72,0,0,619,106
217,fruit,Huckleberry,1904,342249,180,180,50,2,4.0,0,0,952,86
218,drink,Ogogoro,18427,242207,13,13,391,3,0.77,0,0,6142,88
219,drink,Snakebite,14228,257705,18,18,378,10,2.65,0,0,1423,11
220,drink,Oatmeal Cookie,708,119698,169,169,567,0,0.0,0,1,0,242
221,fruit,Kapok,14694,73168,5,5,561,8,1.43,0,0,1837,220
222,drink,White Lady or Delilah,6127,403557,66,66,365,5,1.37,0,0,1225,299
223,fruit,Gac,1594,192209,121,121,88,10,11.36,0,0,159,97
224,vegetable,Fennel,5723,36387,6,6,285,6,2.11,0,10,954,211
225,spices,Cinnamon myrtle,1150,312334,272,272,78,5,6.41,0,0,230,79
226,vegetable,Cabbage,7671,289917,38,38,114,5,4.39,0,0,1534,155
227,dish,Salted caramel cookie,7590,297039,39,39,671,2,0.3,0,0,3795,44
228,drink,Greyhound,16606,138724,8,8,390,10,2.56,0,0,1661,236
229,vegetable,Aubergine,1922,447276,233,233,176,8,4.55,0,8,240,192
230,drink,Dark and Stormy,19788,235297,12,12,158,3,1.9,0,0,6596,72
231,vegetable,Lettuce,11218,44457,4,4,109,4,3.67,0,0,2804,218
232,dish,Vegemite on Toast,10941,374441,34,34,656,9,1.37,0,1,1216,231
233,vegetable,Chinese Spinach,14129,391306,28,28,10,8,80.0,0,0,1766,9
234,spices,Peppermint gum leaf,16714,452301,27,27,435,1,0.23,0,3,16714,23
235,drink,Bloodhound,10182,252792,25,25,108,5,4.63,0,0,2036,25
236,spices,Coriander seed,15552,256270,16,16,435,6,1.38,0,0,2592,50
237,fruit,Chokeberry,13935,200131,14,14,366,8,2.19,0,3,1742,247
238,fruit,Myrciaria floribunda,9137,149355,16,16,684,2,0.29,0,0,4568,237
239,spices,Lesser calamint,7117,140671,20,20,246,3,1.22,0,0,2372,297
240,drink,Harrogate Nights,2538,151522,60,60,297,0,0.0,0,0,0,40
241,vegetable,Daikon Radish,17325,397206,23,23,462,6,1.3,0,0,2888,84
242,vegetable,Corn,12199,185165,15,15,18,10,55.56,0,9,1220,112
243,drink,Pisco Sour,14376,294200,20,20,490,0,0.0,0,9,0,119
244,drink,John Collins,14721,55757,4,4,641,0,0.0,0,0,0,178
245,fruit,Lime,8716,161045,18,18,639,3,0.47,0,0,2905,101
246,fruit,Bearberry,5923,436573,74,74,50,4,8.0,0,0,1481,143
247,spices,Cinnamon myrtle,11606,231527,20,20,479,10,2.09,0,0,1161,176
248,fruit,Cryptocarya alba,3796,385523,102,102,65,2,3.08,0,0,1898,78
249,drink,Pink Gin,541,239802,443,443,608,6,0.99,0,0,90,21
250,spices,Salad burnet,16000,435064,27,27,102,8,7.84,0,0,2000,53
251,drink,Gibson,9713,386212,40,40,505,1,0.2,0,0,9713,66
252,drink,Colombia,17687,96095,5,5,350,0,0.0,0,0,0,210
253,spices,Peppermint gum leaf,4772,232239,49,49,118,5,4.24,0,5,954,242
254,drink,Royal Bermuda Cocktail,15948,329244,21,21,248,6,2.42,0,0,2658,136
255,drink,Havana Cooler,5885,323779,55,55,627,6,0.96,0,0,981,26
256,drink,Pink Lady,1730,63568,37,37,237,5,2.11,0,0,346,256
257,drink,John Collins,132,487748,3695,3695,683,10,1.46,0,8,13,238
258,dish,Hokkien fried rice,5201,123616,24,24,145,1,0.69,0,0,5201,244
259,spices,Parsley,12970,210543,16,16,691,4,0.58,0,0,3242,183
260,vegetable,Napa Cabbage,4482,190298,42,42,612,8,1.31,0,3,560,155
261,dish,Bird's Nest Soup,15515,394812,25,25,666,10,1.5,0,0,1552,7
262,dish,Steak Tartare,12579,177711,14,14,189,10,5.29,0,0,1258,5
263,vegetable,Potato,10919,149222,14,14,103,0,0.0,0,0,0,234
264,fruit,Limeberry,6965,50511,7,7,95,3,3.16,0,0,2322,109
265,dish,Sour cream,19799,314084,16,16,328,3,0.91,0,0,6600,106
266,dish,Steak sandwich,13157,408755,31,31,688,7,1.02,0,0,1880,164
267,spices,Angelica,6767,118817,18,18,541,6,1.11,0,3,1128,26
268,spices,Coriander seed,19889,425728,21,21,271,9,3.32,0,0,2210,109
269,spices,Culantro,17150,76623,4,4,292,2,0.68,0,0,8575,227
270,drink,Brass Monkey,6651,207670,31,31,22,0,0.0,0,0,0,161
271,spices,Lesser calamint,15077,349433,23,23,584,4,0.68,0,0,3769,8
272,drink,Vodka Sundowner,14723,434080,29,29,561,6,1.07,0,10,2454,16
273,spices,Aniseed myrtle,15030,85312,6,6,645,0,0.0,0,6,0,150
274,dish,Black Pudding,11455,356344,31,31,682,1,0.15,0,0,11455,263
275,dish,Reuben sandwich,13671,111110,8,8,636,8,1.26,0,0,1709,288
276,fruit,Boquila,17277,453671,26,26,616,9,1.46,0,0,1920,2
277,vegetable,Baby Corn,6002,424179,71,71,410,5,1.22,0,0,1200,200
278,dish,Funnel Cake,19589,429697,22,22,184,9,4.89,0,4,2177,98
279,fruit,Bilberry,18772,153360,8,8,247,4,1.62,0,0,4693,63
280,fruit,Amelanchier,4520,290133,64,64,571,9,1.58,0,0,502,293
281,spices,Cilantro,732,257504,352,352,363,7,1.93,0,0,105,221
282,vegetable,Water Spinach,3833,124897,33,33,439,4,0.91,0,0,958,31
283,dish,Liver and onions,6819,336184,49,49,253,2,0.79,0,7,3410,104
284,drink,Fluffy Critter,15040,331400,22,22,17,1,5.88,0,0,15040,45
285,drink,Tepache,16388,83177,5,5,210,2,0.95,0,3,8194,96
286,spices,"Cicely, sweet cicely",10983,393425,36,36,481,0,0.0,0,0,0,50
287,drink,Rum Swizzle,11751,68409,6,6,454,7,1.54,2,4,1679,143
288,fruit,Bearberry,4409,270197,61,61,155,1,0.65,0,0,4409,26
289,drink,Caesar,330,31831,96,96,413,9,2.18,0,0,37,271
290,drink,Derby,19689,329044,17,17,140,0,0.0,0,4,0,237
291,drink,Blue Blazer,15361,189833,12,12,123,8,6.5,0,0,1920,18
292,drink,Rum,14395,434255,30,30,399,9,2.26,0,0,1599,49
293,drink,Vermouth,4719,391576,83,83,415,0,0.0,0,3,0,149
294,spices,Curry leaf,5073,438597,86,86,602,2,0.33,0,0,2536,11
295,vegetable,Bok Choy,19853,420071,21,21,633,6,0.95,0,0,3309,296
296,fruit,Blue tongue,5882,71045,12,12,538,7,1.3,0,0,840,189
297,fruit,Photinia,14238,404651,28,28,64,6,9.38,0,2,2373,34
298,dish,Spanish rice,15495,351125,23,23,14,6,42.86,0,0,2582,81
299,spices,Cubeb pepper,17653,76492,4,4,222,7,3.15,0,0,2522,221
300,fruit,Triphasia brassii,13099,392422,30,30,116,6,5.17,0,0,2183,188
301,drink,Chicago,10147,83175,8,8,384,2,0.52,0,0,5074,126
302,drink,Parakari,12947,476208,37,37,63,10,15.87,0,3,1295,28
303,drink,Slivovitz,7943,169703,21,21,550,3,0.55,0,3,2648,295
304,vegetable,Celery Root/Celeriac,810,45334,56,56,345,0,0.0,0,0,0,167
305,vegetable,Arugula,1252,288703,231,231,98,4,4.08,0,0,313,229
306,fruit,Gooseberry,3022,162943,54,54,37,3,8.11,0,0,1007,282
307,fruit,Horned melon,16445,469264,29,29,657,8,1.22,0,0,2056,261
308,spices,Saigon cinnamon,8438,85698,10,10,171,0,0.0,0,0,0,168
309,fruit,Amelanchier,6073,454900,75,75,692,6,0.87,0,0,1012,195
310,fruit,Wimberry,10230,462689,45,45,201,4,1.99,0,0,2558,14
311,drink,London Fog,15847,413072,26,26,417,2,0.48,0,0,7924,39
312,drink,Nixon,11978,76339,6,6,559,7,1.25,0,4,1711,39
313,vegetable,Hearts of Palm,3311,135156,41,41,503,9,1.79,0,5,368,96
314,drink,Hangman's Blood,19611,106933,5,5,299,2,0.67,0,10,9806,213
315,fruit,Durian,13626,66266,5,5,462,0,0.0,0,0,0,292
316,vegetable,Lemongrass,5258,101719,19,19,92,2,2.17,0,5,2629,6
317,spices,Saigon cinnamon,6360,36238,6,6,617,2,0.32,0,5,3180,84
318,dish,Low Country Boil,3635,173964,48,48,239,9,3.77,0,0,404,73
319,spices,Celery leaf,11942,347079,29,29,493,6,1.22,0,0,1990,116
320,spices,Akudjura,12002,492020,41,41,559,5,0.89,0,0,2400,113
321,dish,Falafel,1926,30503,16,16,554,4,0.72,0,0,482,22
322,dish,Parma Ham,2378,106280,45,45,608,4,0.66,0,0,594,181
323,vegetable,Parsnip,10814,305244,28,28,597,7,1.17,0,0,1545,178
324,drink,Mai-Tai,11353,330682,29,29,522,6,1.15,0,10,1892,198
325,fruit,Black walnut,11730,206524,18,18,42,0,0.0,0,0,0,294
326,dish,Chips and dip,12834,495605,39,39,526,7,1.33,0,7,1833,31
327,dish,Hangtown fry,6367,185425,29,29,107,6,5.61,0,0,1061,37
328,fruit,Aronia,6770,45312,7,7,346,7,2.02,0,10,967,48
329,fruit,Durian,12454,464119,37,37,420,1,0.24,0,2,12454,6
330,vegetable,Daikon Radish,1974,464953,236,236,627,6,0.96,0,2,329,275
331,spices,Barberry,2867,435550,152,152,506,1,0.2,0,0,2867,225
332,dish,Pocky,12623,316900,25,25,174,6,3.45,0,0,2104,22
333,spices,Chicory,531,325442,613,613,104,3,2.88,0,0,177,99
334,vegetable,Bok Choi,18574,112675,6,6,551,5,0.91,0,0,3715,153
335,fruit,Photinia,7575,86815,11,11,212,10,4.72,0,7,758,122
336,dish,Charleston red rice,16863,405056,24,24,9,4,44.44,0,0,4216,173
337,dish,Fries,16616,61982,4,4,202,7,3.47,0,3,2374,44
338,spices,Lime flower,13486,279398,21,21,74,7,9.46,0,0,1927,174
339,drink,Brandy Sour,5259,499340,95,95,630,4,0.63,0,7,1315,32
340,drink,Horilka,17701,129282,7,7,695,10,1.44,0,0,1770,13
341,drink,Gin Sour,8508,63982,8,8,691,6,0.87,0,0,1418,144
342,vegetable,Amaranth Leaves,8730,289599,33,33,462,9,1.95,0,0,970,3
343,drink,Caesar,15654,65327,4,4,624,4,0.64,0,0,3914,54
344,vegetable,Radish,19377,49226,3,3,351,8,2.28,0,1,2422,172
345,spices,Jimbu,11970,300903,25,25,507,0,0.0,0,10,0,95
346,dish,Supreme pizza,13877,113963,8,8,72,3,4.17,0,0,4626,134
347,dish,Bacon Cheeseburger,15600,69847,4,4,257,7,2.72,0,1,2229,104
348,spices,Ajwain,16951,450353,27,27,431,2,0.46,0,0,8476,246
349,dish,Corn dog,11337,61215,5,5,352,1,0.28,0,0,11337,295
350,spices,Jiaogulan,6253,135390,22,22,549,10,1.82,0,0,625,17
351,fruit,Cloudberry,14166,71406,5,5,8,8,100.0,0,0,1771,207
352,fruit,Luma apiculata,7572,86790,11,11,93,7,7.53,0,0,1082,113
