namaGrup,namaProduk,pengeluaran,pendapatan,totalEfektivitasIklan,efektivitasIklan,performaTampil,tampilTeratas,tampil,klik,persentaseKlik,terjual,totTerjual,persentaseTerjual,rataRata
vegetable,Asparagus,9857,185785,19,19,0,192,566,4,0.71,1,9,2,2464
vegetable,Turnip,6530,84207,13,13,1,110,120,9,7.5,0,0,0,726
dish,Corn relish,8639,320486,37,37,1,239,264,0,0.0,0,0,0,0
spices,Salep,18992,318676,17,17,10,214,22,6,27.27,0,0,0,3165
dish,Russian tea cake,3955,358129,91,91,0,249,650,2,0.31,0,0,0,1978
fruit,Dwarf dangleberry,17597,299800,17,17,3,156,51,2,3.92,0,0,0,8798
drink,Long Island Iced Tea,14900,145463,10,10,0,113,590,8,1.36,0,0,0,1862
fruit,Dwarf dangleberry,12212,424558,35,35,2,87,41,2,4.88,2,8,4,6106
fruit,Lowbush cranberry,13808,105322,8,8,0,91,274,4,1.46,0,0,0,3452
vegetable,Arugula,6696,242342,36,36,0,14,44,6,13.64,0,10,2,1116
spices,Cubeb pepper,17528,354502,20,20,0,60,280,7,2.5,0,0,0,2504
vegetable,Squash,3416,258996,76,76,0,34,261,4,1.53,0,5,1,854
dish,Pastrami,16171,202929,13,13,0,288,578,3,0.52,0,0,0,5390
dish,Ice Cream,439,274311,625,625,0,151,350,5,1.43,0,5,1,88
dish,Crab cake,557,322082,578,578,0,187,668,1,0.15,0,0,0,557
dish,Apple butter,9402,439096,47,47,1,163,262,1,0.38,0,0,0,9402
drink,Orgasm,9280,356227,38,38,1,32,26,9,34.62,0,0,0,1031
drink,Three Wise Men,2309,114184,49,49,1,234,216,0,0.0,0,0,0,0
drink,Gin pahit,15499,393303,25,25,1,270,522,1,0.19,0,0,0,15499
dish,Meatcake,12573,98644,8,8,1,91,135,1,0.74,0,0,0,12573
spices,Lime flower,4279,87963,21,21,0,155,482,9,1.87,0,7,1,475
dish,Blue cheese dressing,4025,446175,111,111,1,181,309,4,1.29,0,0,0,1006
spices,Sage,8315,228394,27,27,0,29,454,0,0.0,0,6,0,0
vegetable,Tomatillo,12227,338042,28,28,1,200,310,6,1.94,0,0,0,2038
fruit,Kei apple,12402,179025,14,14,0,277,657,7,1.07,0,0,0,1772
vegetable,Fennel,14021,66171,5,5,0,113,243,4,1.65,0,0,0,3505
vegetable,Jerusalem Artichoke,5354,149141,28,28,0,16,364,4,1.1,0,0,0,1338
vegetable,Celery Root/Celeriac,121,340670,2815,2815,1,119,159,3,1.89,0,0,0,40
dish,Pepperoni,16812,449844,27,27,1,290,296,7,2.36,0,0,0,2402
fruit,Kabosu,6195,143140,23,23,1,264,270,9,3.33,0,0,0,688
fruit,Betel nut,10067,412473,41,41,0,87,585,10,1.71,0,5,0,1007
spices,Lovage,5339,339363,64,64,0,292,628,4,0.64,0,0,0,1335
spices,Boldo,10202,53985,5,5,0,148,310,3,0.97,0,0,0,3401
fruit,Kabosu,11866,402589,34,34,0,221,491,5,1.02,0,0,0,2373
spices,Costmary,19419,342046,18,18,0,24,200,4,2.0,0,0,0,4855
dish,Pocky,12952,431057,33,33,2,151,74,1,1.35,0,0,0,12952
spices,Perilla,9427,460446,49,49,0,76,525,9,1.71,0,6,1,1047
drink,Churchill,18030,172118,10,10,1,232,188,8,4.26,0,0,0,2254
spices,Annatto,5282,453743,86,86,1,219,359,2,0.56,0,0,0,2641
fruit,Physalis,6264,71345,11,11,0,90,427,4,0.94,0,0,0,1566
dish,Tomato compote,10292,33254,3,3,0,73,467,4,0.86,0,2,0,2573
drink,Panama,9128,330012,36,36,0,28,316,1,0.32,0,0,0,9128
vegetable,Kohlrabi Greens,16324,69061,4,4,0,83,313,10,3.19,0,6,1,1632
dish,Funnel Cake,14055,464024,33,33,0,43,669,9,1.35,0,0,0,1562
spices,Artemisia,5430,354749,65,65,1,133,140,6,4.29,0,0,0,905
drink,Caipirinha,12235,172967,14,14,1,192,329,1,0.3,0,0,0,12235
drink,Daiquiri,6261,73997,12,12,0,142,577,3,0.52,0,0,0,2087
dish,Tagine,12107,240537,20,20,0,185,700,6,0.86,0,0,0,2018
dish,Waffle,8622,425260,49,49,0,155,463,7,1.51,0,0,0,1232
vegetable,Napa Cabbage,2976,57766,19,19,2,141,72,8,11.11,0,0,0,372
fruit,Foxberry,10246,313332,31,31,0,104,275,1,0.36,0,5,5,10246
spices,Shiso,11072,254875,23,23,0,90,551,10,1.81,0,0,0,1107
spices,Borage,2870,216328,75,75,1,236,368,5,1.36,0,0,0,574
dish,Salisbury steak,3213,232256,72,72,0,150,439,0,0.0,0,0,0,0
dish,Meatloaf,18041,214077,12,12,0,161,585,8,1.37,0,0,0,2255
dish,Roasted Chickpeas,1190,365196,307,307,1,38,46,0,0.0,0,0,0,0
dish,Steamed clams,16908,217159,13,13,0,119,322,10,3.11,0,0,0,1691
dish,Shawarma,1545,201154,130,130,0,157,574,0,0.0,0,4,0,0
fruit,Karonda,11149,218597,20,20,1,242,163,6,3.68,0,0,0,1858
drink,Red Russian,19339,170707,9,9,0,4,668,10,1.5,0,6,1,1934
